labels,text,predicted_label
1,yo no creo que a nadie le haya encantado un pene flacido,Human
0,no va a resolver sus problemas de credito o mejorar su relacion con su padre,Machine
1,te encantara este,Human
0,yo estaba a volar a un aeropuerto varias horas de distancia alquilar un coche conducir a un lugar remoto en canada y desactivar el telefono,Machine
1,maid en manhattan the wedding planner jersey girl monster in law gigli the backup plan que esperar cuando se esta esperando,Human
0,mi padre llego con la primera ola de fuerzas aliadas en el dia d de junio,Machine
1,y podemos todos estar de acuerdo que los envases no miente,Human
1,por supuesto todos los compañeros de reparto de casey en happy endings estaban alli tambien como elisha cuthbert y damon wayans jr,Human
1,al estilo chino capitalismo autoritario si mismo un producto de las lecciones aprendidas por los lideres leninistas de china desde la caida del muro parece mas atractivo para mucha gente fuera al oeste tradicional mientras que el capitalismo desenfrenado desigual occidental financiera tambien en parte a hubris post miradas menos,Human
0,si solo abrasador culpa y la envidia fuera de lugar no eran tan maldito tiempo,Machine
1,pregunte a sus amigos que tienen su mierda juntos para empezar bien con los adultos que funcionan adecuadas,Human
0,asi que para los proximos dias la plaza fue llamada adolf hitler platz en google maps,Machine
1,hubo reflexiones sobre si los memes constituyen una subcultura y si es asi si eso podria durar se especulaba sobre la naturaleza del consumidor de memes que habria encajado facilmente en una charla web mas tradicional y los comentarios de la audiencia insinuaban que la atencion de las masas esta arruinando la creacion de memes brillantes,Human
0,mientras rihanna no estaba sentado con el embajador mundial del equipo su amiga melissa forde se aseguro que ella siguiera riendo todo el tiempo,Machine
1,despues de vogue adivina que publicacion le ha repudiado publicamente ahora,Human
0,meek residente de arizona fue detenido por la policia el de mayo despues de que lo encontraron fuera de un inmueble propiedad de la estrella del pop,Machine
0,yo ya he dejado que ella entregue a la lucha libre bobsleigh soldadura y la recoleccion de la sarna pero el piano,Machine
1,ahora habia un poco de extrañeza por parte de los policias cuando jb fue arrestado pero cuando se llega a esto justin admitio tener cosas en su cuerpo cuando se le detuvo,Human
0,a menudo me gustaria que tenia una hoja de vida con cualquier cosa en el ademas de la comedia pero yo empece a hacer esto cuando tenia años,Machine
1,etiquetas austin butler austin butler photos coachella fashion smashion love line vanessa hudgens vanessa hudgens photos weekend two,Human
0,esto no es una practica inusual para algunas asistentes de vida asistida,Machine
1,y ya revelamos informacion acerca de la segunda generacion del telefono añade,Human
1,ay movieapp no suena igual,Human
1,beyonce es una deslumbrante diosa del glamour en su actuacion de los brit awards,Human
0,esperamos atraer a nuevas empresas que normalmente se veria a san francisco londres o quizas irlanda en lugar de considerar las nuevas y asombrosas oportunidades crimea ofrece como el nuevo centro de inicio en el mundo,Machine
1,me uni a simply hired durante varios años e hice algun trabajo del cual me sentia orgulloso pero luego continue dando vueltas en paginas de consultoria como odesk mintcom o reilly media y otras en las cuales todavia me sentia como que no encajaba y que no estaban teniendo la repercusion que yo esperaba,Human
0,el actriz y mama por la primera vez de años confirmo la magnifica noticia hace unos momentos en twitter,Machine
0,por no hablar de que solo lo hace bien para los jovenes y los que miran a ellos creo que esta bien que se comporten de esa manera hacia la autoridad,Machine
1,una de esas inversiones es dlight una empresa con fines de lucro que diseña la luz solaraccionado para el mundo en desarrollo,Human
0,la multitud de los que recuerdan que de alguna manera previeron estos eventos ha crecido como las reliquias de la verdadera cruz,Machine
